chi_square_percent_point_function, scale_feature_coefficient, min_accuracy_coefficient, min_number_class_per_node, sorting_method, dataset_test_size, dataset_test_categorizable, number_of_rules, cobertura, recursive, ensemble_accuracy, ensemble_f1_score, ensemble_precision_score, ensemble_recall, ensemble_roc_auc_score, tree_accuracy, tree_f1_score, tree_precision_score, tree_recall_score, tree_roc_auc_score, RuleFit_accuracy, RuleFit_f1_score, RuleFit_precision_score, RuleFit_recall_score, RuleFit_roc_auc_score, RuleCOSI_accuracy, RuleCOSI_f1_score, RuleCOSI_precision_score, RuleCOSI_recall_score, RuleCOSI_roc_auc_score, rules_accuracy, rules_f1_score, rules_precision_score, rules_recall_score, rules_roc_auc_score, RuleFit_numrules, RuleCOSI_numrules, rules_numrules
0.95, 0.05, 0.95, 50, target_accuracy, 17, 9, 1, 0.5294117647058824, False, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 26, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 6, 1, 0.35294117647058826, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 24, 6, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 8, 1, 0.47058823529411764, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 30, 6, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 7, 1, 0.4117647058823529, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 19, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 8, 1, 0.47058823529411764, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.9333333333333333, 0.875, 1.0, 0.5, 26, 6, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 7, 1, 0.4117647058823529, False, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 27, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 9, 1, 0.5294117647058824, False, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.6666666666666666, 0.5, 1.0, 0.9375, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 0.8888888888888888, 0.0, 0.0, 0.0, 0.5, 25, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 9, 1, 0.5294117647058824, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 18, 6, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 7, 1, 0.4117647058823529, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 24, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 17, 2, 1.0, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 0.9411764705882353, 0.8888888888888888, 1.0, 0.9444444444444444, 0.8823529411764706, 0.888888888888889, 0.8, 1.0, 0.8888888888888888, 20, 6, 2
0.95, 0.05, 0.95, 50, target_accuracy, 17, 17, 2, 1.0, False, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 0.8823529411764706, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8819444444444444, 0.8235294117647058, 0.8421052631578948, 0.8, 0.8888888888888888, 0.8194444444444444, 26, 4, 2
0.95, 0.05, 0.95, 50, target_accuracy, 17, 17, 2, 1.0, False, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 0.9411764705882353, 1.0, 0.8888888888888888, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8823529411764706, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8819444444444444, 24, 6, 2
0.95, 0.05, 0.95, 50, target_accuracy, 17, 10, 1, 0.5882352941176471, False, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9473684210526316, 0.9, 1.0, 0.5, 17, 6, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 8, 1, 0.47058823529411764, False, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.6666666666666666, 0.5, 1.0, 0.9285714285714286, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.0, 0.0, 0.0, 0.5, 0.875, 0.0, 0.0, 0.0, 0.5, 28, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 7, 1, 0.4117647058823529, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 32, 6, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 10, 1, 0.5882352941176471, False, 0.9, 0.0, 0.0, 0.0, 0.5, 0.9, 0.0, 0.0, 0.0, 0.5, 0.9, 0.0, 0.0, 0.0, 0.5, 0.9, 0.0, 0.0, 0.0, 0.5, 0.9, 0.0, 0.0, 0.0, 0.5, 23, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 7, 1, 0.4117647058823529, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 24, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 17, 2, 1.0, False, 0.9411764705882353, 0.9333333333333333, 1.0, 0.875, 0.9375, 0.8823529411764706, 0.875, 0.875, 0.875, 0.8819444444444444, 0.8823529411764706, 0.8571428571428571, 1.0, 0.75, 0.875, 0.8823529411764706, 0.8571428571428571, 1.0, 0.75, 0.875, 0.8235294117647058, 0.7999999999999999, 0.8571428571428571, 0.75, 0.8194444444444443, 21, 4, 2
0.95, 0.05, 0.95, 50, target_accuracy, 17, 8, 1, 0.47058823529411764, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 26, 5, 1
0.95, 0.05, 0.95, 50, target_accuracy, 17, 9, 1, 0.5294117647058824, False, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 35, 6, 1
